BLOCK	ACTUAL_P	P_AVE	ERROR
462	4.90683	4.99765	0.0144271
463	5.74736	4.99927	0.0144865
464	4.33636	4.99784	0.0145256
465	4.77431	4.99736	0.0145023
466	4.88347	4.99711	0.0144732
467	4.91428	4.99694	0.0144433
468	4.43506	4.99574	0.0144623
469	5.62022	4.99707	0.0144926
470	4.5297	4.99607	0.0144958
471	5.24028	4.99659	0.0144743
472	5.20625	4.99704	0.0144505
473	5.60569	4.99832	0.0144771
474	4.95197	4.99823	0.0144469
475	5.37497	4.99902	0.0144382
476	5.86288	5.00083	0.0145215
477	4.88594	5.00059	0.0144931
478	4.96987	5.00053	0.0144629
479	4.85277	5.00022	0.014436
480	5.03871	5.0003	0.0144061
481	4.76733	4.99982	0.0143843
482	4.89115	4.99959	0.0143562
483	4.91011	4.9994	0.0143277
484	5.05915	4.99953	0.0142986
485	5.67097	5.00091	0.014336
486	4.76867	5.00043	0.0143145
487	5.02043	5.00048	0.0142852
488	5.29434	5.00108	0.0142686
489	5.11614	5.00131	0.0142413
490	5.59958	5.00253	0.0142645
491	4.77663	5.00207	0.0142429
492	5.352	5.00279	0.0142317
493	5.14319	5.00307	0.0142057
494	4.92203	5.00291	0.0141779
495	4.63579	5.00216	0.0141686
496	4.57423	5.0013	0.0141663
497	5.41377	5.00213	0.0141621
498	4.84251	5.00181	0.0141372
499	5.01173	5.00183	0.0141089
500	4.29003	5.00041	0.0141524
501	4.59511	4.9996	0.0141472
502	4.7577	4.99912	0.0141272
503	4.90353	4.99893	0.0141004
504	4.95001	4.99883	0.0140728
505	4.59933	4.99804	0.0140671
506	4.88707	4.99782	0.014041
507	4.56042	4.99696	0.0140398
508	4.89833	4.99676	0.0140135
509	5.06659	4.9969	0.0139867
510	4.94778	4.9968	0.0139596
511	5.019	4.99685	0.0139323
512	4.58599	4.99604	0.0139282
513	5.04719	4.99614	0.0139014
514	5.10843	4.99636	0.0138761
515	4.46929	4.99534	0.0138868
516	4.94292	4.99524	0.0138603
517	4.98733	4.99522	0.0138335
518	4.86314	4.99497	0.0138091
519	4.82752	4.99464	0.0137863
520	5.44808	4.99552	0.0137873
521	5.06987	4.99566	0.0137616
522	4.59842	4.9949	0.0137563
523	4.69908	4.99433	0.0137416
524	4.6341	4.99364	0.0137325
525	4.69525	4.99308	0.0137181
526	4.90494	4.99291	0.0136931
527	5.09985	4.99311	0.0136686
528	4.81402	4.99277	0.0136469
529	4.70571	4.99223	0.0136319
530	4.62204	4.99153	0.0136241
531	4.93543	4.99143	0.0135988
532	4.74484	4.99096	0.0135812
533	4.98018	4.99094	0.0135557
534	5.11109	4.99117	0.0135322
535	5.25859	4.99167	0.0135161
536	4.91522	4.99152	0.0134917
537	5.02862	4.99159	0.0134667
538	4.7547	4.99115	0.0134489
539	5.17688	4.9915	0.0134283
540	4.47782	4.99055	0.0134371
541	5.40936	4.99132	0.0134346
542	4.62333	4.99064	0.0134269
543	4.6546	4.99002	0.0134164
544	4.56558	4.98924	0.0134145
545	5.24474	4.98971	0.013398
546	4.69438	4.98917	0.0133844
547	4.43902	4.98816	0.0133977
548	5.01745	4.98822	0.0133733
549	5.61772	4.98936	0.013398
550	5.13932	4.98964	0.0133764
551	5.00172	4.98966	0.0133522
552	4.67928	4.9891	0.0133398
553	4.67531	4.98853	0.0133278
554	4.85563	4.98829	0.0133059
555	5.35257	4.98895	0.0132981
556	5.81474	4.99043	0.0133568
557	5.52927	4.9914	0.0133679
558	4.65562	4.9908	0.0133574
559	4.9887	4.99079	0.0133335
560	4.80096	4.99045	0.013314
561	4.99082	4.99045	0.0132903
562	4.72277	4.98998	0.0132752
563	5.10002	4.99017	0.013253
564	5.05523	4.99029	0.0132301
565	5.47424	4.99115	0.0132343
566	5.33598	4.99176	0.013225
567	4.94953	4.99168	0.0132019
568	4.83451	4.9914	0.0131815
569	4.87425	4.9912	0.01316
570	4.5074	4.99035	0.0131642
571	4.69062	4.98982	0.0131516
572	4.83443	4.98955	0.0131314
573	4.94745	4.98948	0.0131087
574	5.07285	4.98962	0.0130867
575	5.3645	4.99028	0.0130802
576	4.37853	4.98921	0.0131005
577	5.2711	4.9897	0.0130869
578	4.36196	4.98862	0.0131092
579	4.86494	4.9884	0.0130883
580	4.59751	4.98773	0.0130831
581	4.91222	4.9876	0.0130612
582	5.31072	4.98815	0.0130506
583	4.95581	4.9881	0.0130283
584	5.36729	4.98875	0.0130222
585	5.29504	4.98927	0.0130104
586	5.07096	4.98941	0.012989
587	5.29519	4.98993	0.0129773
588	5.45508	4.99072	0.0129793
589	4.9993	4.99074	0.0129573
590	5.1227	4.99096	0.0129373
591	4.99979	4.99098	0.0129154
592	4.85345	4.99074	0.0128957
593	5.11668	4.99096	0.0128757
594	5.49755	4.99181	0.0128822
595	4.66901	4.99127	0.012872
596	4.2432	4.99001	0.0129114
597	4.8526	4.98978	0.0128918
598	4.54002	4.98903	0.0128922
599	4.95411	4.98897	0.0128708
600	5.12575	4.9892	0.0128514
601	5.01623	4.98924	0.0128301
602	4.4897	4.98841	0.0128356
603	4.5821	4.98774	0.012832
604	5.38393	4.9884	0.0128275
605	4.2941	4.98725	0.0128575
606	5.32548	4.98781	0.0128484
607	4.367	4.98678	0.0128679
608	5.05154	4.98689	0.0128471
609	4.69061	4.9864	0.0128352
610	5.29106	4.9869	0.0128239
611	5.03707	4.98699	0.0128032
612	4.79438	4.98667	0.0127861
613	4.59482	4.98603	0.0127813
614	5.02755	4.9861	0.0127606
615	4.73143	4.98569	0.0127466
616	5.01602	4.98573	0.012726
617	5.34897	4.98632	0.012719
618	5.23106	4.98672	0.0127046
619	5.17622	4.98703	0.0126877
620	5.48904	4.98784	0.0126931
621	5.14475	4.98809	0.0126751
622	5.08089	4.98824	0.0126556
623	6.00048	4.98986	0.0127392
624	4.65161	4.98932	0.0127303
625	4.93496	4.98923	0.0127102
626	5.22361	4.98961	0.0126954
627	4.81952	4.98934	0.0126781
628	5.37788	4.98995	0.012673
629	4.64249	4.9894	0.0126649
630	5.58255	4.99034	0.0126797
631	5.07605	4.99048	0.0126604
632	4.72849	4.99006	0.0126471
633	4.75147	4.98969	0.0126327
634	5.33791	4.99024	0.0126248
635	4.67999	4.98975	0.0126143
636	4.99804	4.98976	0.0125945
637	4.76569	4.98941	0.0125796
638	4.76824	4.98906	0.0125647
639	4.61203	4.98847	0.0125589
640	4.63466	4.98792	0.0125514
641	5.15861	4.98819	0.0125347
642	4.78835	4.98788	0.012519
643	5.27031	4.98831	0.0125072
644	4.85568	4.98811	0.0124895
645	5.04092	4.98819	0.0124704
646	4.88385	4.98803	0.0124522
647	4.95437	4.98798	0.012433
648	5.4974	4.98876	0.0124387
649	4.83575	4.98853	0.0124217
650	4.87256	4.98835	0.0124039
651	5.08125	4.98849	0.0123857
652	5.21628	4.98884	0.0123716
653	5.45591	4.98956	0.0123733
654	4.57657	4.98892	0.0123705
655	4.85344	4.98872	0.0123533
656	4.77929	4.9884	0.0123386
657	5.14674	4.98864	0.0123222
658	5.1387	4.98887	0.0123056
659	5.43373	4.98954	0.0123054
660	5.34284	4.99008	0.0122984
661	5.25433	4.99048	0.0122863
662	4.85229	4.99027	0.0122695
663	5.93624	4.9917	0.0123337
664	4.73832	4.99131	0.012321
665	5.10617	4.99149	0.0123037
666	4.52368	4.99078	0.0123053
667	4.65326	4.99028	0.0122972
668	4.9345	4.9902	0.0122791
669	4.99289	4.9902	0.0122607
670	5.07089	4.99032	0.012243
671	4.76537	4.98998	0.0122294
672	5.05978	4.99009	0.0122116
673	4.97265	4.99006	0.0121935
674	5.3351	4.99057	0.0121861
675	5.3376	4.99109	0.0121789
676	5.30515	4.99155	0.0121698
677	4.55566	4.99091	0.0121688
678	4.75843	4.99057	0.0121557
679	5.17463	4.99084	0.0121408
680	4.4159	4.98999	0.0121524
681	4.94239	4.98992	0.0121347
682	5.44186	4.99058	0.012135
683	4.98243	4.99057	0.0121172
684	5.38983	4.99116	0.0121136
685	4.55303	4.99052	0.0121128
686	5.0774	4.99064	0.0120958
687	5.18627	4.99093	0.0120815
688	5.06612	4.99104	0.0120645
689	4.99718	4.99105	0.012047
690	4.82524	4.99081	0.0120319
691	5.3006	4.99125	0.0120228
692	4.83576	4.99103	0.0120076
693	5.14972	4.99126	0.0119924
694	5.5885	4.99212	0.012006
695	5.1493	4.99235	0.0119908
696	5.03916	4.99241	0.0119738
697	5.30391	4.99286	0.0119649
698	4.86229	4.99267	0.0119493
699	5.34247	4.99317	0.0119426
700	4.97945	4.99315	0.0119256
701	5.22399	4.99348	0.0119131
702	5.35448	4.994	0.0119073
703	5.11236	4.99417	0.0118915
704	5.03076	4.99422	0.0118747
705	4.63225	4.9937	0.011869
706	4.94966	4.99364	0.0118523
707	5.26083	4.99402	0.0118416
708	4.35036	4.99311	0.0118597
709	4.71257	4.99271	0.0118496
710	5.0622	4.99281	0.0118333
711	4.84831	4.99261	0.0118184
712	4.79141	4.99233	0.0118052
713	4.81535	4.99208	0.0117912
714	5.25544	4.99245	0.0117805
715	4.98169	4.99243	0.011764
716	5.25034	4.99279	0.0117531
717	4.68422	4.99236	0.0117446
718	4.71277	4.99197	0.0117347
719	4.9562	4.99192	0.0117185
720	4.66272	4.99147	0.0117111
721	4.86039	4.99128	0.0116963
722	4.9955	4.99129	0.0116801
723	5.13781	4.99149	0.0116657
724	4.35294	4.99061	0.0116829
725	5.06559	4.99071	0.0116672
726	5.26611	4.99109	0.0116573
727	4.6408	4.99061	0.0116512
728	5.06945	4.99072	0.0116357
729	5.11471	4.99089	0.011621
730	5.255	4.99125	0.0116107
731	4.89829	4.99112	0.0115955
732	5.54457	4.99188	0.0116043
733	5.04697	4.99196	0.0115887
734	5.5025	4.99265	0.0115938
735	5.07051	4.99276	0.0115785
736	5.46933	4.9934	0.0115809
737	4.89768	4.99327	0.0115659
738	4.49566	4.9926	0.0115698
739	4.70837	4.99222	0.0115606
740	5.41312	4.99278	0.0115589
741	4.87956	4.99263	0.0115443
742	4.84013	4.99243	0.0115306
743	4.64698	4.99196	0.0115245
744	4.36633	4.99112	0.0115396
745	4.63743	4.99065	0.0115339
