BLOCK	ACTUAL_P	P_AVE	ERROR
319	1.44188	1.51158	0.00674274
320	1.5323	1.51164	0.00672198
321	1.66477	1.51212	0.00671795
322	1.70705	1.51272	0.0067243
323	1.31383	1.51211	0.00673162
324	1.77678	1.51292	0.00676022
325	1.48746	1.51285	0.00673988
326	1.65141	1.51327	0.00673259
327	1.59733	1.51353	0.00671691
328	1.41395	1.51322	0.00670329
329	1.45325	1.51304	0.00668539
330	1.45527	1.51287	0.00666742
331	1.49055	1.5128	0.00664762
332	1.51392	1.5128	0.0066276
333	1.5018	1.51277	0.00660778
334	1.53993	1.51285	0.0065885
335	1.42595	1.51259	0.00657393
336	1.38737	1.51222	0.00656492
337	1.81122	1.51311	0.00660513
338	1.53511	1.51317	0.00658591
339	1.50034	1.51313	0.00656659
340	1.5813	1.51333	0.00655034
341	1.50603	1.51331	0.00653116
342	1.54902	1.51342	0.0065129
343	1.29843	1.51279	0.006524
344	1.46078	1.51264	0.00650679
345	1.41689	1.51236	0.00649384
346	1.49782	1.51232	0.00647521
347	1.38972	1.51197	0.00646618
348	1.42591	1.51172	0.00645233
349	1.48275	1.51164	0.00643437
350	1.5598	1.51177	0.00641746
351	1.47584	1.51167	0.0064
352	1.61792	1.51197	0.00638893
353	1.37697	1.51159	0.00638226
354	1.6231	1.51191	0.006372
355	1.52489	1.51194	0.00635416
356	1.53811	1.51202	0.00633674
357	1.87943	1.51305	0.00640202
358	1.39847	1.51272	0.00639213
359	1.44817	1.51255	0.00637685
360	1.6794	1.51301	0.00637596
361	1.71181	1.51356	0.00638204
362	1.39804	1.51324	0.00637238
363	1.60811	1.5135	0.00636018
364	1.28806	1.51288	0.00637279
365	1.54685	1.51298	0.00635601
366	1.52674	1.51301	0.00633876
367	1.50477	1.51299	0.00632153
368	1.33164	1.5125	0.00632353
369	1.77556	1.51321	0.00634645
370	1.61573	1.51349	0.00633534
371	1.36078	1.51308	0.00633162
372	1.37653	1.51271	0.00632523
373	1.39358	1.51239	0.00631633
374	1.58244	1.51258	0.00630222
375	1.32382	1.51207	0.00630548
376	1.3553	1.51166	0.00630248
377	1.61933	1.51194	0.00629223
378	1.50326	1.51192	0.00627563
379	1.64257	1.51226	0.00626853
380	1.36242	1.51187	0.00626443
381	1.3058	1.51133	0.00627129
382	1.39948	1.51104	0.0062617
383	1.49893	1.511	0.00624544
384	1.46491	1.51088	0.00623032
385	1.44463	1.51071	0.00621652
386	1.44282	1.51054	0.0062029
387	1.26965	1.50991	0.00621803
388	1.52628	1.50996	0.00620214
389	1.48461	1.50989	0.00618654
390	1.46659	1.50978	0.00617167
391	1.38722	1.50947	0.00616384
392	1.6992	1.50995	0.00616709
393	1.59403	1.51016	0.00615511
394	1.42852	1.50996	0.00614298
395	1.6449	1.5103	0.00613692
396	1.26119	1.50967	0.00615358
397	1.46359	1.50955	0.00613917
398	1.53313	1.50961	0.00612403
399	1.69849	1.51009	0.00612695
400	1.51908	1.51011	0.00611168
401	1.54892	1.51021	0.0060972
