BLOCK	ACTUAL_P	P_AVE	ERROR
608	0.463821	0.733572	0.0133602
609	0.465769	0.733132	0.0133455
610	0.447816	0.732664	0.0133318
611	0.806055	0.732784	0.0133105
612	0.540969	0.732471	0.0132925
613	0.356236	0.731857	0.0132849
614	0.855178	0.732058	0.0132648
615	0.689919	0.73199	0.0132434
616	1.00529	0.732433	0.0132294
617	0.967863	0.732815	0.0132134
618	0.498012	0.732435	0.0131975
619	0.939455	0.732769	0.0131804
620	0.584996	0.732531	0.0131613
621	0.427933	0.732041	0.0131492
622	0.759492	0.732085	0.0131282
623	0.646801	0.731948	0.0131078
624	0.484421	0.731551	0.0130928
625	0.191329	0.730687	0.0131004
626	0.572422	0.730434	0.0130819
627	0.110951	0.729446	0.0130983
628	0.491848	0.729068	0.0130829
629	0.613675	0.728884	0.0130634
630	0.811075	0.729015	0.0130433
631	0.62088	0.728843	0.0130237
632	0.874589	0.729074	0.0130052
633	0.607603	0.728882	0.012986
634	1.09497	0.729459	0.0129784
635	0.844122	0.72964	0.0129592
636	1.03889	0.730126	0.012948
637	0.599596	0.729921	0.0129292
638	0.388742	0.729387	0.01292
639	0.784477	0.729473	0.0129001
640	0.549297	0.729191	0.012883
641	0.78253	0.729274	0.0128632
642	0.440638	0.728825	0.012851
643	1.28173	0.729685	0.0128598
644	1.27426	0.73053	0.0128676
645	0.488554	0.730155	0.0128531
646	0.351497	0.729569	0.0128465
647	0.74359	0.729591	0.0128267
648	0.880908	0.729824	0.012809
649	0.854879	0.730017	0.0127907
650	0.494863	0.729655	0.0127762
651	0.616078	0.729481	0.0127578
652	0.77035	0.729543	0.0127383
653	0.619061	0.729374	0.01272
654	1.15462	0.730024	0.0127171
655	1.3611	0.730988	0.0127341
656	0.947539	0.731318	0.012719
657	0.425182	0.730852	0.0127082
658	0.185052	0.730022	0.0127159
659	0.351519	0.729448	0.0127096
660	0.637831	0.729309	0.0126911
661	0.239896	0.728569	0.0126935
662	0.588531	0.728357	0.012676
663	0.418646	0.72789	0.0126655
664	0.512513	0.727566	0.0126506
665	0.991986	0.727963	0.0126378
666	0.846255	0.728141	0.0126201
667	0.42454	0.727686	0.0126094
668	0.631679	0.727542	0.0125913
669	0.590958	0.727338	0.0125742
670	0.522889	0.727033	0.0125591
671	1.14047	0.727649	0.0125555
672	0.91802	0.727932	0.01254
673	0.872056	0.728146	0.0125232
674	0.437279	0.727715	0.0125121
675	0.441516	0.727291	0.0125007
676	0.271941	0.726617	0.0125003
677	0.829847	0.72677	0.0124828
678	0.665919	0.72668	0.0124647
679	1.3157	0.727548	0.0124765
680	0.431531	0.727112	0.0124658
681	0.427644	0.726672	0.0124552
682	0.677877	0.726601	0.0124371
683	1.08646	0.727128	0.0124301
684	0.838688	0.727291	0.012413
685	1.0788	0.727804	0.0124055
686	0.704641	0.72777	0.0123874
687	1.28809	0.728586	0.0123962
688	0.895755	0.728829	0.0123806
689	0.727732	0.728827	0.0123626
690	1.22214	0.729542	0.0123654
691	0.270647	0.728878	0.0123653
692	0.474445	0.72851	0.0123529
693	1.44742	0.729548	0.0123785
694	0.480204	0.729189	0.0123659
695	0.57772	0.728971	0.01235
696	0.691917	0.728917	0.0123324
697	0.876081	0.729129	0.0123165
698	0.748797	0.729157	0.0122989
699	0.580318	0.728944	0.0122832
700	1.48789	0.730028	0.0123134
701	0.720184	0.730014	0.0122958
702	1.20189	0.730686	0.0122967
703	0.624262	0.730535	0.0122801
704	0.168001	0.729736	0.0122886
705	0.719783	0.729722	0.0122712
706	0.334134	0.729161	0.0122666
707	0.999513	0.729544	0.0122552
708	0.484946	0.729198	0.0122428
709	0.379011	0.728704	0.0122355
710	0.213055	0.727978	0.0122398
711	0.395622	0.727511	0.0122315
712	0.708753	0.727484	0.0122143
713	0.136349	0.726655	0.0122253
714	1.01518	0.727059	0.0122149
715	0.356442	0.726541	0.0122088
716	0.822516	0.726675	0.0121924
717	0.809215	0.72679	0.012176
718	0.615013	0.726634	0.01216
719	0.449608	0.726249	0.0121492
720	0.120685	0.725408	0.0121614
721	0.133431	0.724587	0.0121722
722	0.312832	0.724017	0.0121687
723	0.324773	0.723464	0.0121644
724	1.03452	0.723894	0.0121552
725	0.490151	0.723572	0.0121427
726	0.426796	0.723163	0.0121329
727	0.452329	0.72279	0.0121219
728	0.678193	0.722729	0.0121054
729	0.605044	0.722568	0.0120899
730	1.20462	0.723228	0.0120913
731	0.756642	0.723274	0.0120749
732	0.586411	0.723087	0.0120598
733	0.30314	0.722514	0.012057
734	0.497927	0.722208	0.0120444
735	0.315055	0.721654	0.0120408
736	0.493648	0.721344	0.0120284
737	1.08091	0.721832	0.012022
738	0.159021	0.721069	0.0120298
739	0.367924	0.720591	0.012023
740	0.91217	0.72085	0.0120096
741	0.22139	0.720176	0.0120123
742	0.566396	0.719969	0.0119979
743	0.573433	0.719772	0.0119834
744	0.580298	0.719584	0.0119687
745	0.905308	0.719834	0.0119552
746	0.374316	0.719371	0.0119482
747	1.50205	0.720418	0.011978
748	0.444962	0.72005	0.0119677
749	1.06422	0.72051	0.0119605
750	0.80565	0.720623	0.0119451
751	0.25586	0.720004	0.0119452
752	0.893776	0.720235	0.0119316
753	0.344503	0.719736	0.0119262
754	0.996898	0.720104	0.011916
755	1.26534	0.720826	0.0119221
756	0.7818	0.720907	0.0119066
757	1.8217	0.722361	0.0119793
758	1.0153	0.722747	0.0119698
759	0.636275	0.722633	0.0119545
760	0.433692	0.722253	0.0119449
761	0.388134	0.721814	0.0119372
762	0.310455	0.721274	0.0119338
763	0.916015	0.72153	0.0119208
764	0.397867	0.721106	0.0119128
765	0.246895	0.720486	0.0119133
766	0.656955	0.720403	0.0118981
767	1.2112	0.721043	0.0118997
768	0.541492	0.720809	0.0118865
769	0.842798	0.720968	0.0118721
770	0.528201	0.720717	0.0118594
771	0.416472	0.720323	0.0118505
772	0.619522	0.720192	0.0118359
773	0.615698	0.720057	0.0118214
774	0.59275	0.719893	0.0118072
775	1.12396	0.720414	0.0118035
776	2.07326	0.722157	0.0119163
777	0.941631	0.72244	0.0119044
