BLOCK	ACTUAL_V	V_AVE	ERROR
477	6.12404	5.02067	0.0438822
478	5.39842	5.02146	0.0437975
479	4.88022	5.02116	0.0437071
480	3.99844	5.01903	0.0436679
481	5.54261	5.02012	0.0435907
482	4.60811	5.01927	0.0435086
483	4.75499	5.01872	0.043422
484	5.46009	5.01963	0.0433419
485	5.54701	5.02072	0.0432661
486	6.14996	5.02304	0.0432395
487	5.098	5.0232	0.0431509
488	4.94897	5.02304	0.0430628
489	5.12582	5.02325	0.0429752
490	4.66793	5.02253	0.0428937
491	5.19203	5.02287	0.0428077
492	5.1756	5.02318	0.0427218
493	6.02653	5.02522	0.0426836
494	4.22832	5.02361	0.0426277
495	7.30543	5.02822	0.0427901
496	4.34523	5.02684	0.0427259
497	5.61384	5.02802	0.0426563
498	4.27042	5.0265	0.0425978
499	4.83303	5.02611	0.0425142
500	4.87565	5.02581	0.0424302
501	4.51354	5.02479	0.0423578
502	4.80021	5.02434	0.0422758
503	4.85546	5.02401	0.0421931
504	4.08521	5.02214	0.0421505
505	8.00117	5.02804	0.0424778
506	4.50941	5.02702	0.0424062
507	5.56194	5.02807	0.0423357
508	6.37024	5.03071	0.0423347
509	5.37999	5.0314	0.0422571
510	4.26679	5.0299	0.0422008
511	4.69376	5.02924	0.0421234
512	4.97408	5.02914	0.0420412
513	3.8636	5.02686	0.0420206
514	4.00734	5.02488	0.0419857
515	3.95698	5.02281	0.0419553
516	4.27044	5.02135	0.0418993
517	4.9084	5.02113	0.0418189
518	6.19746	5.0234	0.0417998
519	3.77638	5.021	0.0417882
520	5.62972	5.02217	0.0417242
521	4.76255	5.02167	0.0416471
522	4.68336	5.02102	0.0415724
523	4.49732	5.02002	0.041505
524	6.91277	5.02363	0.0415826
525	4.9988	5.02359	0.0415035
526	5.02608	5.02359	0.0414246
527	6.19553	5.02581	0.0414056
528	5.0028	5.02577	0.0413272
529	5.02328	5.02577	0.0412491
530	4.98812	5.02569	0.0411713
531	4.09837	5.02395	0.0411308
532	7.03762	5.02773	0.0412273
533	6.17007	5.02988	0.0412056
534	4.77182	5.02939	0.0411313
535	6.61989	5.03237	0.0411617
536	4.27869	5.03096	0.0411089
537	7.07069	5.03476	0.0412075
538	4.20056	5.03321	0.04116
539	3.65008	5.03064	0.0411636
540	4.88664	5.03038	0.0410882
541	8.43903	5.03668	0.0414925
542	4.56423	5.0358	0.0414251
543	5.81113	5.03723	0.0413734
544	4.34909	5.03597	0.0413167
545	5.50959	5.03684	0.0412501
546	3.69032	5.03437	0.0412482
547	4.60681	5.03359	0.0411802
548	6.17552	5.03567	0.0411577
549	4.37914	5.03448	0.0411001
550	4.70384	5.03387	0.0410298
551	4.49505	5.0329	0.040967
552	5.30461	5.03339	0.0408957
553	4.85457	5.03307	0.040823
554	4.24359	5.03164	0.0407742
555	4.20313	5.03015	0.0407281
556	5.70198	5.03136	0.0406727
557	4.21409	5.02989	0.0406262
558	3.56546	5.02726	0.040638
559	5.05181	5.02731	0.0405654
560	4.05916	5.02558	0.0405297
561	6.46674	5.02815	0.0405388
562	5.58986	5.02915	0.040479
563	7.12782	5.03288	0.0405784
564	5.18431	5.03314	0.0405073
565	6.15236	5.03513	0.040484
566	5.93184	5.03671	0.0404435
567	4.50077	5.03576	0.0403832
568	4.12586	5.03416	0.0403439
569	4.44147	5.03312	0.0402864
570	3.76466	5.0309	0.0402772
571	5.66067	5.032	0.0402217
572	4.48058	5.03103	0.040163
573	5.59076	5.03201	0.0401047
574	5.01113	5.03197	0.0400349
575	3.97262	5.03013	0.0400076
576	4.10639	5.02853	0.0399703
577	4.63392	5.02784	0.0399069
578	4.66375	5.02721	0.0398428
579	5.47964	5.028	0.0397817
580	5.55402	5.0289	0.0397234
581	5.38499	5.02952	0.0396598
582	4.00956	5.02776	0.0396303
583	5.06177	5.02782	0.0395624
584	4.49177	5.0269	0.0395053
585	4.71958	5.02638	0.0394413
586	3.82833	5.02433	0.0394269
587	4.30594	5.02311	0.0393787
588	4.9278	5.02295	0.0393121
589	4.81193	5.02259	0.039247
590	5.64376	5.02364	0.0391946
591	4.77496	5.02322	0.0391305
592	4.99377	5.02317	0.0390644
593	5.09306	5.02329	0.0389987
594	4.96135	5.02319	0.0389332
595	5.11099	5.02333	0.0388681
596	4.63887	5.02269	0.0388082
597	6.2125	5.02468	0.0387943
598	5.73554	5.02587	0.0387477
599	5.07296	5.02595	0.0386831
600	5.12132	5.02611	0.0386189
601	5.27356	5.02652	0.0385569
602	4.44324	5.02555	0.038505
603	3.88709	5.02366	0.0384874
604	5.74979	5.02486	0.0384424
605	3.55787	5.02244	0.0384553
606	4.25738	5.02118	0.0384126
607	4.2648	5.01993	0.0383695
608	4.0047	5.01826	0.0383427
609	5.06641	5.01834	0.0382798
610	4.6505	5.01774	0.0382218
611	7.29625	5.02147	0.0383407
612	4.26237	5.02023	0.0382982
613	6.78881	5.02311	0.0383442
614	4.21662	5.0218	0.0383042
615	4.10846	5.02031	0.0382707
616	4.14866	5.0189	0.0382348
617	5.11139	5.01905	0.0381731
618	4.1604	5.01766	0.0381366
619	4.84454	5.01738	0.038076
620	5.98991	5.01895	0.0380469
621	4.28595	5.01777	0.0380039
622	3.7276	5.01569	0.0379994
623	4.68407	5.01516	0.0379421
624	6.25158	5.01714	0.037933
625	6.13213	5.01893	0.0379143
626	4.19539	5.01761	0.0378765
627	4.0912	5.01613	0.0378449
628	6.79184	5.01896	0.0378901
629	5.86873	5.02031	0.037854
630	4.76736	5.01991	0.037796
631	4.42155	5.01896	0.037748
632	5.01371	5.01895	0.0376883
633	4.59072	5.01828	0.0376348
634	6.01752	5.01985	0.0376084
635	4.23881	5.01862	0.0375693
636	5.02001	5.01863	0.0375102
637	5.91018	5.02002	0.0374775
638	3.73962	5.01802	0.0374724
639	4.38843	5.01703	0.0374267
640	4.85361	5.01678	0.0373691
641	4.3178	5.01569	0.0373267
642	5.98153	5.01719	0.0372989
643	4.60421	5.01655	0.0372464
644	4.778	5.01618	0.0371904
645	7.25254	5.01965	0.037294
646	6.73409	5.0223	0.0373306
647	3.57604	5.02006	0.0373398
648	3.5107	5.01773	0.0373547
649	6.50378	5.02002	0.0373673
650	5.6341	5.02097	0.0373217
651	7.34742	5.02454	0.0374351
652	6.12571	5.02623	0.0374158
653	5.27099	5.02661	0.0373604
654	4.61033	5.02597	0.0373086
655	4.0335	5.02446	0.0372824
656	4.0384	5.02295	0.0372559
657	4.78716	5.02259	0.0372009
658	4.71782	5.02213	0.0371473
659	4.28519	5.02101	0.0371077
660	8.27412	5.02594	0.0373774
661	5.72891	5.027	0.037336
662	5.45239	5.02765	0.0372851
663	4.39554	5.02669	0.0372411
664	4.40477	5.02576	0.0371968
665	3.5899	5.0236	0.0372035
666	4.20267	5.02236	0.037168
667	4.62238	5.02177	0.0371171
668	3.9363	5.02014	0.0370971
669	4.37234	5.01917	0.0370543
670	4.34482	5.01817	0.0370127
671	4.19133	5.01693	0.036978
672	4.53815	5.01622	0.0369298
673	5.24898	5.01657	0.0368766
674	4.11886	5.01523	0.0368459
675	5.07965	5.01533	0.0367915
676	5.98506	5.01676	0.036765
677	5.15111	5.01696	0.0367112
678	5.13151	5.01713	0.0366575
679	4.85038	5.01689	0.0366043
680	5.63943	5.0178	0.0365619
681	5.4544	5.01844	0.0365138
682	4.67334	5.01794	0.0364638
683	4.50287	5.01718	0.0364182
684	5.13557	5.01736	0.0363654
685	5.63888	5.01826	0.0363236
686	4.53841	5.01756	0.0362774
687	4.36292	5.01661	0.0362371
688	3.59356	5.01454	0.0362434
689	4.71467	5.01411	0.0361934
690	5.33157	5.01457	0.0361439
691	4.16797	5.01334	0.0361123
692	4.7313	5.01293	0.0360625
693	5.95029	5.01429	0.0360358
694	5.44673	5.01491	0.0359892
695	4.79725	5.0146	0.0359388
696	7.97388	5.01885	0.0361378
697	4.21941	5.0177	0.0361042
698	4.17049	5.01649	0.0360728
699	4.62727	5.01593	0.0360255
700	4.72339	5.01551	0.0359765
701	5.22352	5.01581	0.0359264
702	3.73298	5.01398	0.0359217
703	5.08008	5.01408	0.0358707
704	4.50135	5.01335	0.0358271
705	3.83934	5.01168	0.035815
706	5.49744	5.01237	0.0357709
707	5.10335	5.0125	0.0357205
708	5.47032	5.01315	0.0356759
709	4.4667	5.01238	0.0356339
710	4.7731	5.01204	0.0355853
711	6.42925	5.01403	0.0355911
712	4.71277	5.01361	0.0355436
713	3.88465	5.01203	0.035529
714	4.7794	5.0117	0.0354807
715	5.58187	5.0125	0.03544
716	5.72574	5.01349	0.0354045
717	3.90107	5.01194	0.0353891
718	4.24868	5.01088	0.0353558
719	5.23427	5.01119	0.035308
720	4.48895	5.01046	0.0352664
721	3.88266	5.0089	0.0352522
722	4.71795	5.0085	0.0352057
723	4.87931	5.00832	0.0351574
724	4.07928	5.00704	0.0351323
725	5.81338	5.00815	0.0351014
726	4.64142	5.00764	0.0350567
727	5.28112	5.00802	0.0350105
728	5.06109	5.00809	0.0349625
729	4.12607	5.00688	0.0349354
730	4.65393	5.0064	0.0348909
731	6.60056	5.00858	0.0349113
732	7.21915	5.0116	0.034994
733	6.3138	5.01338	0.0349913
734	4.26572	5.01236	0.0349584
735	5.50638	5.01303	0.0349173
736	4.29453	5.01205	0.0348835
737	4.25024	5.01102	0.0348515
738	6.90256	5.01358	0.0348984
739	6.59459	5.01572	0.0349167
740	6.33958	5.01751	0.0349153
741	5.58508	5.01828	0.0348766
742	5.17217	5.01848	0.0348302
743	4.40592	5.01766	0.0347931
744	5.16724	5.01786	0.0347469
745	7.8787	5.0217	0.0349118
746	5.6878	5.02259	0.0348764
747	5.02594	5.0226	0.0348298
748	5.82377	5.02367	0.0347997
749	4.81326	5.02339	0.0347543
750	5.50382	5.02403	0.0347139
751	4.14445	5.02286	0.0346874
752	4.34584	5.02196	0.034653
753	4.50129	5.02127	0.0346139
754	5.63603	5.02208	0.0345775
755	5.37322	5.02255	0.0345349
756	4.83352	5.0223	0.0344901
757	3.90054	5.02081	0.0344764
758	4.44852	5.02006	0.0344391
759	5.69378	5.02095	0.0344052
760	3.97596	5.01957	0.0343874
761	4.3385	5.01868	0.0343539
762	4.35285	5.0178	0.0343199
