BLOCK	ACTUAL_P	P_AVE	ERROR
444	1.61433	1.50456	0.00637981
445	1.60761	1.50479	0.00636968
446	1.45497	1.50468	0.00635638
447	1.35959	1.50435	0.00635044
448	1.38716	1.50409	0.00634165
449	1.35592	1.50376	0.00633611
450	1.51096	1.50378	0.00632205
451	1.61283	1.50402	0.00631265
452	1.4817	1.50397	0.00629888
453	1.68752	1.50437	0.00629799
454	1.40011	1.50414	0.00628831
455	1.30817	1.50371	0.00628922
456	1.27946	1.50322	0.00629462
457	1.66937	1.50359	0.00629134
458	1.61779	1.50384	0.00628254
459	1.40906	1.50363	0.00627225
460	1.51062	1.50364	0.00625863
461	1.50242	1.50364	0.00624506
462	1.30698	1.50322	0.00624603
463	1.49859	1.50321	0.00623255
464	1.48681	1.50317	0.00621921
465	1.32834	1.50279	0.00621719
466	1.45222	1.50269	0.0062048
467	1.53628	1.50276	0.00619193
468	1.40155	1.50254	0.00618247
469	1.56338	1.50267	0.00617065
470	1.19414	1.50201	0.00619234
471	1.40008	1.5018	0.00618298
472	1.66214	1.50214	0.0061792
473	1.58089	1.5023	0.00616838
474	1.4553	1.50221	0.00615616
475	1.44349	1.50208	0.00614444
476	1.6002	1.50229	0.00613499
477	1.35504	1.50198	0.00612989
478	1.50909	1.50199	0.00611709
479	1.45717	1.5019	0.00610503
480	1.67039	1.50225	0.0061024
481	1.49858	1.50224	0.00608971
482	1.34845	1.50193	0.00608543
483	1.56063	1.50205	0.00607405
484	1.45109	1.50194	0.00606241
485	1.75798	1.50247	0.00607285
486	1.71992	1.50292	0.00607682
487	1.45457	1.50282	0.00606515
488	1.62737	1.50307	0.00605809
489	1.4918	1.50305	0.00604575
490	1.61982	1.50329	0.0060381
491	1.47363	1.50323	0.00602611
492	1.46406	1.50315	0.00601438
493	1.39013	1.50292	0.00600655
494	1.68288	1.50328	0.00600543
495	1.53486	1.50335	0.00599364
496	1.3752	1.50309	0.00598712
497	1.62208	1.50333	0.00597986
498	1.61235	1.50355	0.00597186
499	1.52292	1.50359	0.00596001
500	1.30025	1.50318	0.00596195
501	1.38674	1.50295	0.00595458
502	1.28922	1.50252	0.00595792
503	1.54472	1.5026	0.00594666
504	1.21168	1.50203	0.00596281
505	1.42795	1.50188	0.00595281
506	1.29983	1.50148	0.00595442
507	1.52568	1.50153	0.00594287
508	1.37139	1.50127	0.00593669
509	1.52447	1.50132	0.0059252
510	1.54939	1.50141	0.00591433
511	1.61627	1.50164	0.00590703
512	1.52218	1.50168	0.00589563
513	1.3763	1.50143	0.0058892
514	1.33411	1.50111	0.00588673
515	1.50497	1.50112	0.00587531
516	1.56002	1.50123	0.00586503
517	1.54186	1.50131	0.00585421
518	1.45838	1.50123	0.0058435
519	1.41161	1.50105	0.00583479
520	1.40738	1.50087	0.00582635
521	1.66142	1.50118	0.00582331
