BLOCK	ACTUAL_V	V_AVE	ERROR
396	5.48405	5.36829	0.277394
397	4.29462	5.36559	0.276709
398	4.63808	5.36376	0.27602
399	4.97583	5.36279	0.27533
400	4.20566	5.3599	0.274656
401	5.11623	5.35929	0.273972
402	4.59179	5.35738	0.273297
403	4.18873	5.35448	0.272634
404	6.54052	5.35741	0.271975
405	5.3372	5.35736	0.271304
406	6.24328	5.35955	0.270644
407	4.69136	5.3579	0.269984
408	5.24819	5.35764	0.269323
409	4.12124	5.35461	0.268681
410	4.92934	5.35358	0.268028
411	5.96055	5.35505	0.26738
412	4.80953	5.35373	0.266734
413	7.44425	5.35879	0.266136
414	5.18399	5.35837	0.265494
415	3.89376	5.35484	0.264878
416	4.37222	5.35248	0.264251
417	5.90642	5.3538	0.263621
418	4.8528	5.35261	0.262993
419	4.69856	5.35105	0.26237
420	4.59114	5.34924	0.261752
421	3.68682	5.34529	0.26116
422	4.74555	5.34387	0.260545
423	6.00906	5.34544	0.259933
424	6.13101	5.34729	0.259327
425	5.48882	5.34762	0.258717
426	4.68812	5.34608	0.258114
427	4.65229	5.34445	0.257515
428	3.59989	5.34038	0.256946
429	6.10374	5.34215	0.256353
430	5.02433	5.34142	0.255758
431	4.98324	5.34058	0.255166
432	4.95157	5.33968	0.254577
433	2.78873	5.33379	0.254057
434	3.6766	5.32997	0.2535
435	4.97282	5.32915	0.252919
436	4.15108	5.32645	0.252353
437	5.04883	5.32582	0.251776
438	6.66073	5.32886	0.25122
439	4.49119	5.32696	0.250655
440	6.20481	5.32895	0.250093
441	4.77135	5.32769	0.249529
442	4.31002	5.32538	0.248975
443	4.1137	5.32265	0.248428
444	3.93355	5.31952	0.247889
445	4.00976	5.31658	0.247349
446	3.52292	5.31256	0.246827
447	3.63445	5.3088	0.246303
448	5.08119	5.30829	0.245754
449	6.66919	5.31132	0.245226
450	5.53984	5.31183	0.244681
451	4.1712	5.3093	0.244152
452	3.98764	5.30638	0.243629
453	5.29642	5.30636	0.243091
454	4.84761	5.30535	0.242558
455	6.46421	5.30789	0.242038
456	6.35249	5.31018	0.241518
457	4.76191	5.30898	0.240993
458	5.37105	5.30912	0.240467
459	4.54415	5.30745	0.239948
460	5.6098	5.30811	0.239428
461	5.29659	5.30809	0.238908
462	5.04	5.30751	0.238392
463	4.39269	5.30553	0.237885
464	5.69591	5.30637	0.237374
465	5.531	5.30685	0.236864
466	4.34194	5.30478	0.236365
467	4.66867	5.30342	0.235863
468	4.37617	5.30144	0.235367
469	5.00704	5.30081	0.234866
470	4.29068	5.29866	0.234376
471	5.90493	5.29995	0.233882
472	5.21506	5.29977	0.233387
473	3.71529	5.29642	0.232917
474	4.35745	5.29444	0.232434
475	4.48961	5.29274	0.231951
476	5.73713	5.29368	0.231466
477	6.33977	5.29587	0.230991
478	6.26665	5.2979	0.230516
479	5.70776	5.29876	0.230037
480	4.5282	5.29715	0.229563
481	5.09188	5.29673	0.229086
482	4.99903	5.29611	0.228612
483	5.67343	5.29689	0.22814
484	3.79511	5.29379	0.22769
485	5.33165	5.29386	0.22722
486	4.7218	5.29269	0.226756
487	4.89698	5.29188	0.226291
488	4.39827	5.29004	0.225835
489	5.08442	5.28962	0.225374
490	4.74535	5.28851	0.224917
491	4.49386	5.28689	0.224464
492	4.52787	5.28535	0.224013
493	6.77006	5.28836	0.223579
494	4.08676	5.28593	0.22314
495	5.28719	5.28593	0.222689
496	4.55817	5.28447	0.222245
497	5.6477	5.2852	0.221799
498	6.53392	5.2877	0.221368
499	3.29813	5.28372	0.22096
500	3.86445	5.28088	0.220536
501	7.11591	5.28454	0.220127
502	5.16149	5.2843	0.219688
503	4.82121	5.28338	0.219253
504	4.16566	5.28116	0.21883
505	8.27469	5.28709	0.218477
506	4.40388	5.28534	0.218052
507	5.97942	5.28671	0.217626
508	5.10404	5.28635	0.217198
509	4.99176	5.28577	0.216772
510	3.8522	5.28296	0.216365
511	4.3908	5.28121	0.215949
512	4.04754	5.2788	0.21554
513	4.86039	5.27799	0.215122
514	5.27186	5.27798	0.214703
515	5.42107	5.27825	0.214287
516	4.68253	5.2771	0.213874
517	5.21264	5.27698	0.213461
518	6.13281	5.27863	0.213055
519	4.96128	5.27802	0.212645
520	5.59337	5.27862	0.212237
521	3.58725	5.27538	0.211855
522	4.70167	5.27428	0.211452
523	4.00222	5.27185	0.211061
524	6.72794	5.27462	0.210677
525	4.57923	5.2733	0.21028
526	4.54315	5.27191	0.209885
527	4.80449	5.27102	0.209488
528	5.91924	5.27225	0.209095
529	4.67842	5.27113	0.208703
530	6.39825	5.27326	0.20832
531	4.88742	5.27253	0.207929
532	8.52705	5.27865	0.207628
533	4.23425	5.27669	0.207248
534	5.38428	5.27689	0.20686
535	4.66504	5.27575	0.206476
536	4.84939	5.27495	0.206092
537	6.92704	5.27803	0.205732
538	4.28874	5.27619	0.205357
539	5.20883	5.27606	0.204977
540	4.44813	5.27453	0.204603
541	7.91854	5.27942	0.204283
542	5.19966	5.27927	0.203906
543	4.57918	5.27798	0.203535
544	4.41708	5.2764	0.203167
545	3.93203	5.27393	0.202809
546	5.67941	5.27467	0.202439
547	4.31293	5.27292	0.202076
548	5.97199	5.27419	0.201711
549	4.56214	5.27289	0.201348
550	4.84289	5.27211	0.200984
551	4.48178	5.27068	0.200624
552	5.14308	5.27045	0.200261
553	4.89555	5.26977	0.1999
554	4.7489	5.26883	0.199541
555	4.93351	5.26822	0.199182
556	5.05226	5.26784	0.198825
557	3.57477	5.2648	0.198491
558	6.01839	5.26615	0.19814
559	4.88806	5.26547	0.197786
560	5.25496	5.26545	0.197433
561	7.15334	5.26882	0.19711
562	5.93041	5.26999	0.196763
563	6.00698	5.2713	0.196418
564	5.27317	5.27131	0.196069
565	6.31873	5.27316	0.195731
566	5.48355	5.27353	0.195386
567	5.20905	5.27342	0.195041
568	4.36272	5.27182	0.194704
569	4.37129	5.27023	0.194369
570	4.42979	5.26876	0.194033
571	5.95864	5.26997	0.193697
572	5.00674	5.26951	0.193359
573	6.46832	5.2716	0.193033
574	3.48979	5.26849	0.192722
575	4.17349	5.26659	0.192396
576	5.62919	5.26722	0.192063
577	5.03256	5.26681	0.19173
578	4.38709	5.26529	0.191405
579	5.24916	5.26526	0.191074
580	6.04058	5.2666	0.190749
581	7.26422	5.27004	0.190452
582	4.31329	5.26839	0.190132
583	4.74823	5.2675	0.189808
584	5.05751	5.26714	0.189483
585	4.50413	5.26584	0.189164
586	4.65024	5.26479	0.188844
587	3.64165	5.26202	0.188542
588	5.17651	5.26188	0.188222
589	5.05208	5.26152	0.187903
590	4.09201	5.25954	0.187595
591	3.52708	5.25661	0.1873
592	5.62212	5.25722	0.186985
593	3.61227	5.25445	0.18669
594	4.67019	5.25347	0.186378
595	5.28679	5.25352	0.186065
596	4.26785	5.25187	0.18576
597	7.30565	5.25531	0.185481
598	5.88618	5.25636	0.185174
599	6.99408	5.25927	0.184887
600	5.05734	5.25893	0.184579
601	4.2485	5.25725	0.18428
602	4.76199	5.25642	0.183976
603	4.42207	5.25504	0.183676
604	5.82044	5.25598	0.183374
605	4.70494	5.25507	0.183073
606	4.51036	5.25384	0.182775
607	4.12479	5.25198	0.182484
608	3.48005	5.24906	0.182207
609	4.27378	5.24746	0.181915
610	3.26583	5.24421	0.181645
611	6.16441	5.24572	0.181354
612	5.29366	5.2458	0.181058
613	5.68765	5.24652	0.180764
614	3.68854	5.24398	0.180488
615	3.50811	5.24116	0.180216
616	6.06139	5.24249	0.179928
617	5.88233	5.24353	0.17964
618	3.83272	5.24124	0.179364
619	4.91684	5.24072	0.179075
620	5.82288	5.24166	0.178788
621	3.69938	5.23918	0.178518
622	3.62043	5.23657	0.17825
623	4.3078	5.23508	0.17797
624	6.36407	5.23689	0.177694
