BLOCK	ACTUAL_V	V_AVE	ERROR
348	4.13797	5.76724	0.397644
349	3.88527	5.76185	0.396541
350	4.58946	5.7585	0.395423
351	4.62176	5.75526	0.394309
352	5.26593	5.75387	0.393192
353	5.77095	5.75392	0.392078
354	5.20717	5.75238	0.390973
355	3.31246	5.7455	0.389932
356	3.81426	5.74008	0.388875
357	4.19518	5.73575	0.38781
358	6.84098	5.73884	0.386739
359	4.80128	5.73623	0.38567
360	4.03946	5.73151	0.384628
361	4.67716	5.72859	0.383573
362	5.8142	5.72883	0.382514
363	6.35074	5.73054	0.381464
364	4.49229	5.72714	0.380431
365	4.88016	5.72482	0.379396
366	5.78813	5.72499	0.378359
367	4.62861	5.72201	0.37734
368	4.48583	5.71865	0.37633
369	3.19936	5.71182	0.375372
370	4.29918	5.708	0.374377
371	4.74621	5.70541	0.373376
372	6.15058	5.70661	0.372375
373	5.62318	5.70638	0.371376
374	5.09056	5.70474	0.370387
375	4.43793	5.70136	0.369415
376	5.46093	5.70072	0.368433
377	5.31509	5.6997	0.367457
378	3.7112	5.69443	0.366523
379	3.47157	5.68857	0.365602
380	6.29856	5.69018	0.364644
381	5.81144	5.69049	0.363687
382	4.77935	5.68811	0.362743
383	4.70239	5.68553	0.361805
384	6.37871	5.68734	0.360867
385	4.23733	5.68357	0.359949
386	5.94365	5.68425	0.359017
387	5.92123	5.68486	0.35809
388	4.21743	5.68108	0.357187
389	6.35332	5.68281	0.356273
390	4.60897	5.68005	0.35537
391	4.60823	5.67731	0.354472
392	5.43069	5.67668	0.353568
393	4.81741	5.6745	0.352675
394	4.5135	5.67155	0.351793
395	6.7753	5.67434	0.350913
396	4.53472	5.67147	0.350039
397	5.2512	5.67041	0.349159
398	4.86231	5.66838	0.348287
399	5.86055	5.66886	0.347415
400	5.20363	5.66769	0.346548
401	7.09494	5.67125	0.345702
402	5.49439	5.67081	0.344843
403	4.7003	5.66841	0.343995
404	4.24653	5.66489	0.343162
405	4.80733	5.66277	0.342321
406	4.72952	5.66047	0.341486
407	4.74637	5.65822	0.340654
408	5.5688	5.65801	0.339819
409	4.81408	5.65594	0.338994
410	5.8888	5.65651	0.338168
411	3.62015	5.65156	0.337382
412	5.69009	5.65165	0.336563
413	6.35304	5.65335	0.335752
414	3.48569	5.64811	0.334982
415	6.17165	5.64937	0.334177
416	4.60331	5.64686	0.333383
417	5.22561	5.64585	0.332585
418	2.98917	5.63949	0.33185
419	5.07534	5.63815	0.331061
420	7.38743	5.64231	0.330299
421	7.41343	5.64652	0.329541
422	6.52551	5.6486	0.328767
423	4.44541	5.64576	0.328002
424	5.17148	5.64464	0.32723
425	3.96544	5.64069	0.326484
426	3.82461	5.63642	0.325746
427	4.12561	5.63289	0.325002
428	4.25284	5.62966	0.324259
429	5.52979	5.62943	0.323503
430	5.45075	5.62901	0.322751
431	4.55937	5.62653	0.322012
432	4.24533	5.62333	0.321282
433	4.90223	5.62167	0.320544
434	4.5356	5.61917	0.319816
435	5.14962	5.61809	0.319082
436	3.95351	5.61427	0.318373
437	5.01541	5.6129	0.317648
438	5.32439	5.61224	0.316923
439	4.49958	5.6097	0.316211
440	5.46316	5.60937	0.315493
441	5.12768	5.60828	0.314779
442	4.80204	5.60646	0.314072
443	4.83901	5.60472	0.313368
444	5.06335	5.6035	0.312665
445	5.04859	5.60226	0.311965
446	5.60141	5.60225	0.311265
447	5.37416	5.60174	0.310569
448	6.57414	5.60391	0.309884
449	3.5432	5.59933	0.309227
450	4.00133	5.59577	0.308561
451	4.84632	5.59411	0.307881
452	3.40278	5.58926	0.307238
453	3.7612	5.58523	0.306586
454	5.95357	5.58604	0.305912
455	4.3944	5.58342	0.305251
456	5.31251	5.58283	0.304582
457	4.91754	5.58137	0.303919
458	5.05652	5.58023	0.303258
459	3.92291	5.57661	0.302618
460	6.1608	5.57788	0.301963
461	8.23495	5.58365	0.301363
462	3.84572	5.57989	0.300734
463	4.63951	5.57786	0.300092
464	5.26161	5.57717	0.299446
465	4.68589	5.57526	0.298808
466	4.77524	5.57354	0.298172
467	4.01489	5.5702	0.297552
468	5.87873	5.57086	0.296917
469	5.28994	5.57026	0.296284
470	7.56406	5.57451	0.295684
471	5.8759	5.57515	0.295057
472	3.99365	5.57179	0.294451
473	4.33948	5.56919	0.29384
474	4.43188	5.56679	0.29323
475	4.98631	5.56557	0.292615
476	8.46902	5.57167	0.292064
477	4.20917	5.56881	0.291466
478	6.42854	5.57061	0.290861
479	4.28213	5.56792	0.290267
480	3.45859	5.56353	0.289695
481	4.91428	5.56218	0.289096
482	4.43491	5.55984	0.288506
483	3.90536	5.55641	0.287929
484	6.51495	5.55839	0.287341
485	5.42683	5.55812	0.286748
486	4.24441	5.55542	0.286171
487	5.64748	5.55561	0.285584
488	5.35812	5.5552	0.284999
489	7.05506	5.55827	0.284432
490	5.2111	5.55756	0.283853
491	5.02644	5.55648	0.283277
492	3.7435	5.55279	0.282725
493	4.59298	5.55085	0.282158
494	4.31994	5.54836	0.281598
495	6.67904	5.55064	0.281038
496	4.24991	5.54802	0.280484
497	3.67393	5.54425	0.279945
498	3.93029	5.54101	0.279402
499	6.53231	5.54299	0.278849
500	5.33192	5.54257	0.278291
501	3.388	5.53827	0.277769
502	4.15426	5.53551	0.277229
503	4.03523	5.53253	0.276694
504	8.05675	5.53754	0.276191
505	5.55943	5.53758	0.275644
506	4.70835	5.53594	0.275104
507	5.32768	5.53553	0.274562
508	4.78224	5.53405	0.274025
509	7.7748	5.53845	0.273522
510	4.14309	5.53572	0.272999
511	6.81385	5.53822	0.272477
512	4.35938	5.53591	0.271954
513	4.88156	5.53464	0.271427
514	4.99594	5.53359	0.270901
515	5.90718	5.53432	0.270376
516	5.51708	5.53428	0.269852
517	5.09326	5.53343	0.269331
518	4.47661	5.53139	0.268819
519	5.10223	5.53056	0.268302
520	5.76713	5.53102	0.267787
521	3.95335	5.52799	0.26729
522	3.78718	5.52465	0.266799
523	5.10942	5.52386	0.26629
524	5.98268	5.52474	0.265783
525	6.89192	5.52734	0.26529
526	4.64338	5.52566	0.264791
527	4.27301	5.52328	0.264299
528	6.58047	5.52528	0.263806
529	5.98592	5.52616	0.263309
530	4.97751	5.52512	0.262814
531	5.92725	5.52588	0.26232
532	5.58726	5.52599	0.261827
533	5.39654	5.52575	0.261336
534	7.92757	5.53025	0.260885
535	5.1517	5.52954	0.260398
536	5.46197	5.52941	0.259913
537	4.92873	5.5283	0.259431
538	4.34896	5.5261	0.258958
539	5.08963	5.52529	0.258479
540	6.07039	5.5263	0.258002
541	5.14888	5.52561	0.257526
542	5.81859	5.52615	0.257052
543	7.65883	5.53007	0.256608
544	5.0151	5.52913	0.256138
545	3.62723	5.52564	0.255692
546	3.30383	5.52157	0.255256
547	4.90821	5.52045	0.254792
548	4.76805	5.51907	0.254331
549	6.71822	5.52126	0.253877
550	5.76508	5.5217	0.253416
551	6.41949	5.52333	0.252961
552	4.63625	5.52172	0.252508
553	4.37802	5.51966	0.25206
554	3.70412	5.51638	0.251626
555	3.93469	5.51353	0.251189
556	4.06989	5.51093	0.25075
557	4.79454	5.50965	0.250303
558	3.63914	5.50629	0.249877
559	4.42695	5.50436	0.249438
560	4.82228	5.50314	0.248995
561	4.60941	5.50155	0.248557
562	3.76392	5.49846	0.248134
563	3.74837	5.49535	0.247712
564	4.67688	5.4939	0.247277
565	4.89347	5.49284	0.246842
566	4.85595	5.49171	0.246408
567	4.52373	5.49001	0.24598
568	4.6445	5.48852	0.245551
569	5.51476	5.48856	0.24512
570	4.28288	5.48645	0.244699
571	6.53561	5.48828	0.244277
572	4.91222	5.48728	0.243852
573	3.67351	5.48411	0.243447
574	5.21047	5.48364	0.243023
575	4.09043	5.48121	0.242613
576	3.94454	5.47854	0.242206
577	3.44784	5.47503	0.241812
578	3.55061	5.4717	0.241417
579	5.72518	5.47213	0.241
580	3.6866	5.46906	0.240604
581	5.80223	5.46963	0.240191
582	4.49784	5.46796	0.239784
583	5.37326	5.4678	0.239373
584	4.71373	5.46651	0.238966
585	3.91166	5.46385	0.238573
586	3.69662	5.46083	0.238185
587	4.2243	5.45873	0.237788
588	5.07047	5.45806	0.237385
589	4.55404	5.45653	0.236987
590	4.66904	5.4552	0.236589
591	4.46531	5.45352	0.236194
592	6.29525	5.45494	0.2358
593	4.52914	5.45338	0.235407
594	5.31972	5.45316	0.235011
595	3.09736	5.4492	0.234649
596	4.86751	5.44822	0.234258
597	4.32346	5.44634	0.233873
598	3.89033	5.44373	0.233496
599	5.84189	5.4444	0.233107
600	5.9322	5.44521	0.23272
601	5.26289	5.44491	0.232333
602	4.15842	5.44277	0.231957
603	3.98901	5.44036	0.231585
604	4.45022	5.43872	0.231207
605	4.87989	5.4378	0.230827
606	5.42525	5.43778	0.230446
607	4.03733	5.43547	0.230078
608	5.06838	5.43487	0.2297
609	5.71686	5.43533	0.229324
610	5.2793	5.43507	0.228948
611	5.15661	5.43462	0.228574
612	4.0837	5.43241	0.228211
613	6.57028	5.43427	0.227846
614	4.83266	5.43329	0.227477
615	5.25437	5.433	0.227107
616	5.3596	5.43288	0.226739
617	4.45355	5.43129	0.226377
618	3.94272	5.42888	0.226023
619	4.87259	5.42798	0.22566
620	4.56984	5.4266	0.2253
621	4.73274	5.42548	0.22494
622	4.30706	5.42368	0.224586
623	4.37104	5.42199	0.224232
624	3.95754	5.41965	0.223884
625	4.48829	5.41816	0.223531
626	4.23276	5.41626	0.223182
627	4.00438	5.41401	0.222838
628	5.03218	5.4134	0.222484
629	3.88845	5.41098	0.222143
630	4.30817	5.40923	0.221797
631	4.97731	5.40854	0.221447
632	6.61455	5.41045	0.221105
633	6.80668	5.41266	0.220766
634	4.89065	5.41183	0.22042
635	3.83257	5.40935	0.220087
636	4.99699	5.4087	0.219742
637	4.90035	5.4079	0.219398
638	5.83292	5.40857	0.219055
639	6.85665	5.41083	0.218724
640	4.58034	5.40954	0.218386
641	4.07195	5.40745	0.218055
