Gen	Best	Mean	Err
310	73.7792	73.7792	3.16298e-06
311	73.7792	73.7792	3.16298e-06
312	73.5237	73.5237	4.15697e-06
313	73.5237	73.5237	4.15697e-06
314	73.5237	73.5237	4.15697e-06
315	73.5237	73.5237	4.15697e-06
316	73.5237	73.5237	4.15697e-06
317	73.5237	73.5237	4.15697e-06
318	73.5237	73.5237	4.15697e-06
319	73.5237	73.5237	4.15697e-06
320	73.5237	73.5237	4.15697e-06
321	73.5237	73.5237	4.15697e-06
322	73.5237	73.5237	4.15697e-06
323	73.5237	73.5237	4.15697e-06
324	73.5237	73.5237	4.15697e-06
325	73.5237	73.5237	4.15697e-06
326	73.5237	73.5237	4.15697e-06
327	73.4608	73.4608	1.90735e-06
328	73.4608	73.4608	1.90735e-06
329	73.4608	73.4608	1.90735e-06
330	73.4608	73.4608	1.90735e-06
331	73.4608	73.4608	1.90735e-06
332	72.9814	72.9814	2.33602e-06
333	72.9814	72.9814	2.33602e-06
334	72.9814	72.9814	2.33602e-06
335	72.9814	72.9814	2.33602e-06
336	72.9814	72.9814	2.33602e-06
337	70.9918	70.9918	1.3487e-06
338	70.9918	70.9918	1.3487e-06
339	70.5233	70.5233	9.53674e-07
340	70.5233	70.5233	9.53674e-07
341	69.476	69.476	0
342	69.476	69.476	0
343	69.476	69.476	0
344	69.476	69.476	0
345	69.476	69.476	0
346	69.476	69.476	0
347	69.476	69.476	0
348	69.476	69.476	0
349	69.476	69.476	0
350	69.476	69.476	0
351	69.2213	69.2213	0
352	69.1794	69.1794	2.52319e-06
353	69.1794	69.1794	2.52319e-06
354	69.016	69.016	9.53674e-07
355	69.016	69.016	9.53674e-07
356	69.016	69.016	9.53674e-07
357	69.016	69.016	9.53674e-07
358	69.016	69.016	9.53674e-07
359	69.016	69.016	9.53674e-07
360	69.016	69.016	9.53674e-07
361	69.016	69.016	9.53674e-07
362	69.016	69.016	9.53674e-07
363	69.016	69.016	9.53674e-07
364	69.016	69.016	9.53674e-07
365	69.016	69.016	9.53674e-07
